Color,Suite,Card,Action Card Ideas,Boomer,GenX,Millennial,GenZ,Row total points,SlideURL
,,19,Download Backstreet Boys album on Napster,-200,100,300,-100,100,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1079
,,20,Have a Voice Call on a Discord server,-100,0,100,500,500,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1066
,,21,Scroll through dank memes,-200,-100,200,400,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1053
,,22,Watch All That! Marathon,-100,0,300,100,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1040
,,23,Attend Woodstock festival,500,0,0,0,500,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1027
,,24,Participate in Hands Across America,400,100,0,-100,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1014
,,25,Rock out to Nirvana,-100,200,100,0,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1001
,,26,Rock a pair of Yeezys,-100,100,200,400,600,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_988
,,27,Go through an airport without a security check,300,200,-100,-200,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_975
,,28,Attend a Zoom class,-200,-100,100,400,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_962
,,29,Game on an Oculus,-100,-100,100,400,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_949
,,30,Instant message your friend on AIM,-100,100,200,-100,100,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_936
,,31,Find a Holographic Charizard Pokemon Card,0,100,300,300,700,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_923
,,32,Go to a drive-in movie,500,100,-100,-100,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_910
,,33,Watch a TV show without looking at your smartphone,400,100,0,-300,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_897
,,34,Own a Pet Rock,300,100,0,-100,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_884
,,35,Place a collect call,300,300,0,-100,500,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_871
,,36,Spend the day at the mall,0,300,300,100,700,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_858
,,37,Use a typewriter,500,100,0,-100,500,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_845
,,38,Photoshop your friend’s face on a movie poster,-100,0,300,300,500,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_832
,,39,Have Toaster Strudels for breakfast,-100,0,300,200,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_819
,,40,Work at a newspaper,400,100,0,0,500,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_806
,,41,Get a job as a social media coordinator,-200,-100,200,500,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_793
,,42,Buy something from a Billy Mays infomercial,200,100,0,-100,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_780
,,43,Fill up a tank of gas,-100,-200,-300,-400,-1000,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_767
,,44,Go on the Paleo diet,-100,0,200,300,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_754
,,45,Listen to a Hall & Oates cassette tape,300,300,0,-100,500,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_741
,,46,Dress up as a Power Ranger for a costume party,-100,0,200,100,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_728
,,47,Make a call on a rotary phone,500,100,-200,-200,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_715
,,48,Ride in a car without using seat belts,300,0,-100,-200,0,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_702
,,49,Clean the erasers of a chalkboard,400,100,-100,-100,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_689
,,50,Tell Alexa to play your wakeup playlist,-100,-100,200,300,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_676
,,51,Use a physical map on a road trip,500,200,-100,-200,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_663
,,52,Read a magazine while using the toilet ,500,300,0,-200,600,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_650
,,53,Steal cable using a convertor box,100,400,-100,-200,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_637
,,54,Burn a mix CD on Windows Media Player,-100,200,300,0,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_624
,,55,Attend a D.A.R.E assembly,-100,200,200,0,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_611
,,56,Play Pong on the Atari,300,100,0,-100,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_598
,,57,Watch the original Space Jam,-100,100,300,100,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_585
,,58,Believe in the American Dream,500,200,-100,-200,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_572
,,59,Use a Roomba to clean your house,-100,100,200,200,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_559
,,60,Watch an entire movie on your smartphone,-100,0,100,300,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_546
,,61,Buy a new computer,-500,-400,-200,-100,-1200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_533
,,62,Install shag carpet in your house,400,100,-200,-200,100,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_520
,,63,Get your photos developed at a pharmacy,500,300,100,-100,800,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_507
,,64,Use ChatGPT to write your English essay,-200,-100,0,500,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_494
,,65,Play against noobs in Fortnite match,-200,-100,200,500,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_481
,,66,Fall for a NFT scam,0,0,-200,-200,-400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_455
,,67,Receive email from Nigerian Prince,-200,0,0,0,-200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_442
,,68,Buy a latte with oat milk,-200,0,200,300,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_429
,,69,Play with a Troll doll,0,200,200,-100,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_403
,,70,Make cupcakes in an Easy-Bake Oven,200,300,100,0,600,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_390
,,71,Watch Saturday Morning cartoons,-200,100,300,100,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_377
,,72,Amass a collection of Cabbage Patch Kids,100,300,0,-100,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_364
,,73,Buy a 42oz soda at McDonald’s,100,200,0,-200,100,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_351
,,74,Carry around a boombox,0,200,-100,-100,0,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_338
,,75,Watch actual music on MTV,-200,200,200,0,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_325
,,76,Get married at age 22,400,100,-200,-200,100,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_312
,,77,Rickroll your BFF,-200,-100,200,200,100,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_299
,,78,Play Oregon Trail on the school computer,-100,200,100,-100,100,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_286
,,79,Drink a can of probiotic soda,-100,0,100,300,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_273
,,80,Celebrate Columbus Day,300,100,0,-200,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_260
,,81,Play with a fidget spinner,-100,-100,0,400,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_247
,,82,Ask a question on Yahoo Answers,0,100,200,-100,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_234
,,83,Do a Zoolander Magnum pose,-100,100,200,100,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_221
,,84,Start a Twitch livestream,-200,-100,100,500,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_208
,,85,Find an apartment on Craigslist,-100,0,200,200,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_195
,,86,Make preparation for the Y2K problem,200,200,100,-100,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_182
,,87,Talk about your feelings,-200,0,100,400,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_169
,,88,Watch the Nightly News with your family,400,100,0,-200,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_156
,,89,Use an encyclopedia at the library,400,100,0,-100,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_143
,,90,Dance to MC Hammer while wearing parachute pants,-100,200,0,0,100,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_130
,,91,Wear shutter shade sunglasses,-100,-100,200,100,100,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_117
,,92,Watch the DVD commentary of a movie,0,200,200,0,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_104
,,93,Add shoulder pads to your suit,300,100,-100,-100,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_91
,,94,Get selected for a Mr. Beast challenge,-100,0,100,300,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_78
,,95,Show off your wrist full of Silly Banz,-200,-100,0,400,100,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_65
,,96,Camp out in line for the new Harry Potter book,0,0,100,300,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_52
,,97,Party in a Hype House full of TikTokers,-100,-100,0,500,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_39
,,98,Compose with an Analog synthesizer,300,100,0,200,600,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_26
,,99,Play a vinyl record,500,100,0,200,800,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_13
,,100,Sleep on a water bed,200,200,0,-100,300,
,,101,Stay up late to watch Johnny Carson,300,200,0,-100,400,
,,102,Play GoldenEye on your N64,-100,100,300,100,400,
,,103,Sing the theme to the Brady Bunch,300,100,0,0,400,
,,104,Scan a QR code to see the menu of a restaurant ,-200,0,100,300,200,
,,105,Build a house on Roblox ,-200,-100,0,300,0,
,,106,Dance under a Disco ball ,300,100,0,100,500,
,,107,Browse through a TV Guide,200,100,0,-100,200,
,,108,Read Archie Comics,200,200,0,-100,300,
,,109,Do an impression of The Godfather,300,200,-100,0,400,
,,110,Grow a mustache,200,100,-100,100,300,
,,111,Go to a birthday party at the bowling alley,200,200,100,0,500,
,,112,Tuck in your t-shirt,200,200,-100,0,300,
,,113,Hang a poster of Farrah Fawcett in your room,300,100,0,0,400,
,,114,Wear a piano key necktie,100,300,-100,-100,200,
,,115,Ask 'Where's the Beef?',100,200,-100,-100,100,
,,116,Repeat the sounds on a Simon,100,300,0,0,400,
,,117,Listen to Glam Rock,300,200,-100,0,400,
,,118,Subscribe to a Youtube Gaming channel,-100,0,100,300,300,
,,119,Watch a Muhammed Ali boxing match,400,100,0,0,500,
,,120,Watch the moon landing,500,0,0,0,500,
,,121,Drive a VW van,400,100,-100,-100,300,
,,122,Put a quarter in a Jukebox,300,0,-100,-100,100,
,,123,Debate The Beatles vs The Rolling Stones,300,100,0,0,400,
,,124,Critic the flavor of New Coke,200,200,-100,-100,200,
,,125,Decide what member of The Breakfast Club you are,100,300,0,0,400,
,,126,Play Super Mario on The NES,0,300,100,0,400,
,,127,Play with ThunderCat action figure ,-100,200,200,-100,200,
,,128,Play with a Tech Deck skateboard,-100,-100,300,-100,0,
,,129,Fix a cassette tape with a pencil,100,300,0,-100,300,
,,130,Wear suspenders with your suit,200,200,-100,-100,200,
,,131,Pretend that you are in the A-team,100,300,0,-100,300,
,,132,Hum the Rocky theme as your run up stairs,100,300,100,0,500,
,,133,Tear down the Berlin Wall,100,200,0,0,300,
,,134,Listen to a song that incorporate the saxophone,200,300,-100,-100,300,
,,135,Do the Truffle Shuffle,0,200,100,0,300,
,,136,Create Pongs of your favorite celebrity ,-100,0,300,0,200,
,,137,Carry arround a Zack Morris cell phone,100,300,-100,-200,100,
,,138,Twist the lever of a Bop-it,-100,0,300,100,300,
,,139,Get slimed on a Nickelodeon show,-200,-100,300,200,200,
,,140,Vote for a song on TRL,0,100,300,0,400,
,,141,Order a Kidz Bop CD,-200,-100,200,100,0,
,,142,Ride a Razor Scooter to school,-200,-100,300,200,200,
,,143,Sing along to the commerical for Bagel Bites,0,100,300,0,400,
,,144,Get a smartphone for your tenth birthday,-100,0,0,500,400,
,,145,Blow the catridge of a Gameboy game ,0,100,200,100,400,
,,146,Change the TV input to play your PS2,0,100,300,100,500,
,,147,Stick your tongue out like Michael Jordan,0,200,200,0,400,
,,148,Drop your Nokia cell phone that receives no damage,0,200,200,-100,300,
,,149,Guess 'Who's that Pokemon?',-100,-100,300,200,300,
,,150,Have a giant TV attenna sticking out of your roof,300,200,0,-100,400,
,,151,Hang multi-color wallpaper on your walls,400,0,-100,-100,200,
,,152,Protest the Vietnam War,400,0,0,0,400,
,,153,Use the Kung-fun Grip of your GI Joe,300,200,0,0,500,
,,154,Play 3D Pinball on WIndows XP,0,100,400,0,500,
,,155,Scream at your friends because of Mario Party,-100,0,300,200,400,
,,156,Make a paper fortune teller in class,-100,0,300,100,300,
,,157,Eat Extreme Sour warheads,-100,-100,200,100,100,
,,158,Buy Surge soda from a vending machine,-200,0,300,100,200,
,,159,Get an ipod Mini in your favorite color,0,100,400,200,700,
,,160,Put blond highlights in your hair,-100,100,200,0,200,
,,161,Make a call on your Motorola Razr,0,200,300,-100,400,
,,162,Unlock items on Club Penguin,-100,0,200,400,500,
,,163,Get 3 Stars on Angry Birds,0,0,200,300,500,
,,164,Replace the batteries on your wii remote,-100,-100,300,200,300,
,,165,Buy a cell phone with no headphone jack,-100,0,200,400,500,
,,166,Spread awareness about climate change,-100,0,100,500,500,
,,167,Listen to jokes from the Annoying Orange,-200,-100,100,300,100,
,,168,Dab during your graduation ceremony,-100,-100,0,400,200,
,,169,Invest in Gamestop stock,-200,0,200,300,300,
,,170,Spend 20 minutes playing with Snapchat filters,-200,-100,100,400,200,
,,171,Watch a non-Marvel movie in the theater,300,200,200,-200,500,
,,172,Yell at Tony from the P90x videos,0,200,200,0,400,
,,173,Never use your cell phone for phone calls,-100,-100,0,400,200,
,,174,Plank on a random park bench,-100,0,100,300,300,
,,175,Make a fancam of a Kpop star,-200,-100,-100,300,-100,
,,176,Get a Chromebook on your first day of school,-100,0,0,400,300,
,,177,Order all your groceries from an app,-200,0,100,300,200,
,,178,Make fun of your friend for send a green bubble text,-100,-100,0,300,100,
,,179,Measure your sleep quality with an app,-100,0,200,200,300,
,,180,Challenge your friend on Draw Something,0,0,200,200,400,
,,181,Build your village on Clash of Clans,-100,-100,200,300,300,
,,182,Stay home from school and watch The Price is Right,300,300,100,0,700,
,,183,Whistle the Sanford and Sons theme song,300,100,0,0,400,
,,184,Get invited to a roller skate party,400,100,-100,0,400,
,,185,Make a tie-dye shirt,300,200,0,0,500,
,,186,Use a Super 8 camera,300,100,0,-100,300,
,,187,Talk to a stranger at the park,300,100,-100,-200,100,
,,188,Hitchhike a ride into town,300,0,-100,-100,100,
,,189,Use playground equipment made of cold steel,200,100,-100,-100,100,
,,190,Learn about bills from Schoolhouse rock!,300,200,0,0,500,
,,191,Drop a slinky down your stairs,300,200,100,0,600,
,,192,Get a bowl cut from your mother,200,100,-100,-200,0,
,,193,Ride a motorcyle without a helmet ,300,0,-100,-200,0,
,,194,Order sea monkeys from a catalog,200,0,-100,-100,0,
,,195,Share your phone location when meeting up with your friend,-100,0,100,300,300,
,,196,Watch a reaction video of a movie instead of the movie,-200,-100,0,300,0,
,,197,Write a 'RIP Haramabe' post,-100,-100,200,300,300,
,,198,Plug in a lava lamp,400,100,-100,0,400,
,,199,Carry a metal lunch box to school,300,200,-100,-100,300,
,,200,"Say ""I am not a Crook""",400,100,-100,-100,300,
,,201,Fly on Pan Am Airlines,400,0,-100,-100,200,
,,202,Complain about waiting in line for gas,400,100,0,0,500,
,,203,Participate in flash mob at the mall,-200,-100,100,300,100,
,,204,Argue if the dress is white & gold or blue & black,-100,0,100,200,200,
